Species ID	Full Name	Tribe	Origin	Breeding type	Breeding mode	Fishbase Link
Leppro	Lepidiolamprologus profundicola	Lamprologini	Lake Tanganyika	Substrate spawning	open spawning	http://www.fishbase.org/summary/8631
Lesper	Lestradea perspicax	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8632
Lessta	Lestradea stappersii	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8633
Limdar	Limnotilapia dardennii	Tropheini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8638
Loblab	Lobochilotes labiatus	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8639
Mdcrot	Microdontochromis rotundiventralis	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/47889
Mdcten	Microdontochromis tenuidentata	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8640
Neobif	Neolamprologus bifasciatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/51690
Neobou	Neolamprologus boulengeri	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8650
Neobre	Neolamprologus brevis	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.se/summary/8651
Neobri	Neolamprologus brichardi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8652
NeobriK	Neolamprologus brichardi KAKU	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8652
NeobrM	"Neolamprologus brevis sp. ""MAGARA"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8651
Neobue	Neolamprologus buescheri	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8653
NeocaK	Neolamprologus sp. caudopunctatus kipili	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Neocal	Neolamprologus calliurus	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	NA
Neocan	Neolamprologus cancellatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/62608
Neocau	Neolamprologus caudopunctatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8654
Neochi	Neolamprologus chitamwebwai	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/64229
Neochr	Neolamprologus christyi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8655
Neocra	Neolamprologus crassus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8656
Neocyg	Neolamprologus sp. 'falcicula cygnus'	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Neocyl	Neolamprologus cylindricus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8657
Neodev	Neolamprologus devosi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/61538
Neoese	Neolamprologus sp. 'eseki'	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Neofal	Neolamprologus falcicula North	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8658
NeofaM	Neolamprologus falcicula Mahale	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Neofur	Neolamprologus furcifer	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8665
NeofuU	Neolamprologus furcifer Ulwile	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8665
Neogra	"Neolamprologus gracilis ""Kongo"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8668
NeogrM	"Neolamprologus gracilis ""Tanzania"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8668
Neohec	Neolamprologus hecqui	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8669
Neohel	Neolamprologus helianthus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/60344
Neokom	"Neolamprologus sp. ""Kombe"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Neolap	Neolamprologus laparogramma	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/55285
NeoleL	Neolamprologus leleupi leleupi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8670
Neoleu	Neolamprologus leleupi longior	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8671
Neolon	Neolamprologus longicaudatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/51688
Neolou	Neolamprologus leloupi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8740
Neomar	Neolamprologus marunguensis	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8672
Neomee	Neolamprologus meeli	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8673
Neomod	Neolamprologus modestus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8741
NeomoM	"Neolamprologus sp. ""mondabu Mahale"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Neomon	Neolamprologus mondabu	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8742
Neomul	Neolamprologus multifasciatus	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/8744
Neomux	Neolamprologus mustax	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8745
Neonig	Neolamprologus niger	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8746
Neonve	Neolamprologus nigriventris	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/47089
Neoobs	Neolamprologus obscurus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8747
Neooli	Neolamprologus olivaceous	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8748
Neopec	Neolamprologus pectoralis	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/47098
Neopet	Neolamprologus petricola	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8749
Neopro	Neolamprologus prochilus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8751
Tanirs	Tanganicodus irsacae	Eretmodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8875
NeopuD	"Neolamprologus pulcher ""Daffodil"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8752
Neopul	Neolamprologus pulcher	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8752
Neosav	Neolamprologus savoryi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8753
Neosch	Neolamprologus schreyeni	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8754
Neosex	Neolamprologus sexfasciatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8755
Neosim	Neolamprologus similis	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/47104
Neospl	Neolamprologus splendens	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8756
Neotet	Neolamprologus tetracanthus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8757
Neotim	Neolamprologus timidus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/67482
Neotoa	Neolamprologus toae	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8758
Neotre	Neolamprologus tretocephalus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8759
Neovar	Neolamprologus variostigma	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/60405
NeoveB	Neolamprologus ventralis Burundi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/51691
Neoven	Neolamprologus ventralis South	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/51691
NeoveS	"Neolamprologus ventralis South ""stripe"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/51691
Neowal	Neolamprologus walteri	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/64228
Neowau	Neolamprologus wauthioni	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/8760
Ophboo	Ophthalmotilapia boops	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8774
Psephi	Pseudocrenilabrus philander	Haplochromini	Lunzua	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/6891
Psevic	Pseudocrenilabrus victoriae	Haplochromini	Lake Victoria	Mouthbrooding	maternal territorial brooding	NA
Ptygra	Ptychochromis grandidieri	Ptychochromini	Madagascar	Substrate spawning	open spawning	http://www.fishbase.org/summary/61566
Ptyoli	Ptychochromis oligocanthus	Ptychochromini	Madagascar	Substrate spawning	open spawning	http://www.fishbase.se/summary/Ptychochromis-oligacanthus.html
Regcal	Reganochromis calliurus	Limnochromini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8823
Sarcar	Sargochromis carlottae	Serranochromini	Zambezi River	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/5364
Serang	Serranochromis angusticeps	Serranochromini	Lake Chila	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/5358
Sermac	Serranochromis macrocephalus	Serranochromini	Kafue River	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/5359
Serrob	Serranochromis robustus	Serranochromini	Lake Chila	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/2383
Serthu	Serranochromis thumbergi	Serranochromini	Lake Chila	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/5360
Simbab	Simochromis babaulti	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/7953
Simdia	Simochromis diagramma	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8856
Simmar	Simochromis marginatus	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8859
Simmrg	Simochromis margaretae	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8858
Simple	Simochromis pleurospilus	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8861
Spaery	Spathodus erythrodon	Eretmodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8862
Spamar	Spathodus marlieri	Eretmodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8863
Steult	Steatocranus sp. ultraslender	Steatocranini	Congo River	Substrate spawning	cave spawning	NA
Koneis	Konia eisentrauti	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Punmac	Pungu maclareni	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Sthloh	Sarotherodon lohbergeri	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Sthste	Sarotherodon steinbachi	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Stopin	Stomatepia pindu	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Stomar	Stomatepia mariae	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Kondik	Konia dikume	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Myamya	Myaka myaka	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Sthcar	Sarotherodon caroli	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Sthlin	Sarotherodon linnellii	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Stomon	Stomatepia mongo	Oreochromini	Lake Barombi Mbo	Mouthbrooding	maternal territorial brooding	
Orenil	Oreochromis niloticus	Oreochromini	Lake Tanganyika affluent	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/2
Hplkil	"Haplochromis sp. ""Kilossana"""	Haplochromini	Wami River	Mouthbrooding	maternal territorial brooding	NA
Cphfr5	Cyphotilapia sp. 5bar frontosa/North	Cyphotilapiini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8572
Tchdha	Tangachromis dhanisi	Limnochromini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8874
Telbif	Telmatochromis bifrenatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8881
Telbra	Telmatochromis brachygnathus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/62420
Telbri	Telmatochromis brichardi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8883
TeldhN	Telmatochromis dhonti North	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8886
TeldhS	Telmatochromis dhonti South	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8886
TeldhT	Telmatochromis dhonti Twiyu	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8886
Telluf	"Telmatochromis sp. ""Lufubu"""	Lamprologini	Lake Tanganyika affluent	Substrate spawning	cave spawning	NA
Telshe	Telmatochromis sp. 'shell'	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	NA
TelteN	Telmatochromis temporalis North	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8888
TelteS	Telmatochromis temporalis South	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8888
Telvit	Telmatochromis vittatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8890
Thobra	Thoracochromis brauschi	Haplochromini	Lake Fwa	Mouthbrooding	maternal territorial brooding	http://www.fishbase.se/summary/6700
Tilbre	"""Tilapia""  brevimanus"	Gobiocichlini	Western Africa	Substrate spawning	open spawning	http://www.fishbase.org/summary/2483
Tilspa	Tilapia sparmanii	Tilapiini	Lake Chila	Substrate spawning	open spawning	http://www.fishbase.se/summary/4719
Tre sp.	Trematocara sp.	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	NA
Trecap	Trematocara caparti	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8955
Trekuf	Trematocara kufferathi	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8957
Tremac	Trematocara macrostoma	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8891
Tremar	Trematocara marginatum	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8959
TreniN	Trematocara nigrifrons North	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8960
Trenig	Trematocara nigrifrons	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8960
Tresti	Trematocara stigmaticum	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8962
Treuni	Trematocara unimaculatum	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8963
Trevar	Trematocara variabile	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8965
Trezeb	Trematocara zebra	Trematocarini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/51602
Trioto	Triglachromis otostigma	Limnochromini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/8970
Troann	Tropheus annectens	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8977
Trobri	Tropheus brichardi	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8979
TrobrK	Tropheus brichardi Kipili	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8979
Trodub	Tropheus duboisi	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8980
Trokir	"Tropheus sp. ""Black Mahale Kirschfleck"""	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	NA
Troluk	Tropheus brichardi Tanzania Lukuga	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8979
Trolun	Tropheus lunatus	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	NA
Tromoo	Tropheus moorii	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8982
Tromor	"Tropheus moorii ""TZ morago"""	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8982
Trompi	"Tropheus sp. ""mpimbwe"""	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	NA
Tronig	"Tropheus sp. ""black"""	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	NA
Tropol	Tropheus annectens polli (TZ)	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8984
Trored	"Tropheus moorii sp. ""red"""	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8982
Tylpol	Tylochromis polylepis	Tylochromini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/9135
Varmoo	Variabilichromis moorii	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8743
Xchhec	Xenochromis hecqui	Perissodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/9163
Xenbat	Xenotilapia bathyphila	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/9164
Xenbou	Xenotilapia boulengeri	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/9165
Xenbur	Xenotilapia burtoni	Ectodini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/9167
Xencau	Xenotilapia caudafasciata	Ectodini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/9169
Xenfla	Xenotilapia flavipinnis	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/9173
Xenkil	"Xenotilapia sp. ""kilesa"""	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	NA
Xenlon	Xenotilapia longispinis	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/9175
Xennas	Xenotilapia nasus	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/51597
XenniN	Xenotilapia nigrolabiata North	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/9176
XenniS	Xenotilapia nigrolabiata South	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/9176
Xenoch	Xenotilapia ochrogenys	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/9177
Xenorn	Xenotilapia ornatipinnis North	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/9178
XenorS	Xenotilapia ornatipinnis South	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/9178
XenpaK	Xenotilapia papilio Kongo	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/9179
Xenpap	Xenotilapia sp. 'papilio katete'	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/9179
Xensim	Xenotilapia sima	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/9180
Xensin	Xenotilapia singularis	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	NA
Xenspi	Xenotilapia spiloptera	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/9181
XenspN	Xenotilapia spiloptera North	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/9181
Xensun	Xenotilapia sp. 'papilio sunflower'	Ectodini	Lake Tanganyika	Mouthbrooding	biparental brooding	NA
Ampcit	Amphilophus citrinellus	Amphilophini	Lake Nicaragua	Substrate spawning	open spawning	NA
Amplab	Amphilophus labiatus	Amphilophini	Lake Nicaragua	Substrate spawning	open spawning	NA
Ampama	Amphilophus amarillo	Amphilophini	Lake Xiloa	Substrate spawning	open spawning	NA
Ampsag	Amphilophus sagittae	Amphilophini	Lake Xiloa	Substrate spawning	open spawning	NA
Ampxil	Amphilophus xiloaensis	Amphilophini	Lake Xiloa	Substrate spawning	open spawning	NA
Ampast	Amphilophus astorquii	Amphilophini	Lake Apoyo	Substrate spawning	open spawning	NA
Ampcha	Amphilophus chancho	Amphilophini	Lake Apoyo	Substrate spawning	open spawning	NA
Ampglo	Amphilophus globosus	Amphilophini	Lake Apoyo	Substrate spawning	open spawning	NA
