SpeciesID,Tribe,food,habitat
Cunlon,Ectodini,Auf_herb,inter
Cyafoa,Ectodini,Auf_herb,shallow
Cyafur,Ectodini,Auf_herb,shallow
Erecya,Eretmodini,Auf_herb,litoral
Eremar,Eretmodini,Auf_herb,litoral
Spaery,Eretmodini,Auf_herb,litoral
Spamar,Eretmodini,Auf_herb,litoral
Tanirs,Eretmodini,Auf_herb,litoral
Oretan,Oreochromini,Auf_herb,inter
Asplep,Ectodini,Auf_invert,inter
Auldew,Ectodini,Auf_invert,inter
Lesper,Ectodini,Auf_invert,inter
Lessta,Ectodini,Auf_invert,inter
Xenbat,Ectodini,Auf_invert,inter
Xencau,Ectodini,Auf_invert,inter
Xenfla,Ectodini,Auf_invert,inter
Xennas,Ectodini,Auf_invert,deep
XenniS,Ectodini,Auf_invert,deep
XenorS,Ectodini,Auf_invert,deep
XenpaK,Ectodini,Auf_invert,deep
Xenpap,Ectodini,Auf_invert,deep
Xenspi,Ectodini,Auf_invert,shallow
XenspN,Ectodini,Auf_invert,shallow
Xensun,Ectodini,Auf_invert,deep
Chabif,Lamprologini,Auf_invert,inter
Chabri,Lamprologini,Auf_invert,inter
Chacya,Lamprologini,Auf_invert,inter
Chando,Lamprologini,Auf_invert,inter
Juldic,Lamprologini,Auf_invert,inter
Julkom,Lamprologini,Auf_invert,inter
JulmaN,Lamprologini,Auf_invert,inter
JulmaS,Lamprologini,Auf_invert,inter
Julmrk,Lamprologini,Auf_invert,inter
Julorn,Lamprologini,Auf_invert,inter
Julreg,Lamprologini,Auf_invert,inter
JulreK,Lamprologini,Auf_invert,inter
Julunt,Lamprologini,Auf_invert,inter
Lamkun,Lamprologini,Auf_invert,inter
Telbif,Lamprologini,Auf_invert,inter
Telbra,Lamprologini,Auf_invert,inter
Telbri,Lamprologini,Auf_invert,inter
Telshe,Lamprologini,Auf_invert,inter
TelteS,Lamprologini,Auf_invert,inter
Telvit,Lamprologini,Auf_invert,inter
Varmoo,Lamprologini,Auf_invert,inter
Gnapfe,Tropheini,Auf_invert,inter
Loblab,Tropheini,Auf_invert,inter
Simbab,Tropheini,Auf_invert,inter
Simdia,Tropheini,Auf_invert,inter
Simmar,Tropheini,Auf_invert,inter
Simmrg,Tropheini,Auf_invert,inter
Simple,Tropheini,Auf_invert,inter
Ophboo,Ectodini,Auf_invert,shallow
Ophnas,Ectodini,Auf_invert,shallow
Ophpar,Ectodini,Auf_invert,shallow
Ophven,Ectodini,Auf_invert,shallow
Ophwhi,Ectodini,Auf_invert,shallow
Batfas,Bathybatini,fish,pelagic
Batfer,Bathybatini,fish,pelagic
Batgra,Bathybatini,fish,pelagic
Bathor,Bathybatini,fish,pelagic
Batleo,Bathybatini,fish,pelagic
Batmin,Bathybatini,fish,pelagic
Batvit,Bathybatini,fish,pelagic
Boumic,Boulengerochromini,fish,pelagic
Lamlem,Lamprologini,fish,inter
Lepatt,Lamprologini,fish,inter
Lepcun,Lamprologini,fish,inter
Lepelo,Lamprologini,fish,inter
Lepkam,Lamprologini,fish,inter
Lepken,Lamprologini,fish,inter
LepmeK,Lamprologini,fish,inter
Lepmim,Lamprologini,fish,inter
Leppro,Lamprologini,fish,inter
Lamcal,Lamprologini,fish_invert,inter
Gwcabe,Limnochromini,fish_invert,deep
Baicen,Limnochromini,fish_invert,deep
Gwcbel,Limnochromini,fish_invert,deep
Gwcchr,Limnochromini,fish_invert,deep
Regcal,Limnochromini,fish_invert,deep
Tremac,Trematocarini,fish_invert,deep
Tremar,Trematocarini,fish_invert,deep
Trenig,Trematocarini,fish_invert,deep
Tresti,Trematocarini,fish_invert,deep
Treuni,Trematocarini,fish_invert,deep
Trezeb,Trematocarini,fish_invert,deep
Hemste,Bathybatini,fry_plan,pelagic
HemstZ,Bathybatini,fry_plan,pelagic
BenhoM,Benthochromini,fry_plan,pelagic
Benhor,Benthochromini,fry_plan,pelagic
Benmel,Benthochromini,fry_plan,pelagic
Bentri,Benthochromini,fry_plan,pelagic
Cphfr5,Cyphotilapiini,fry_plan,pelagic
Cphfro,Cyphotilapiini,fry_plan,pelagic
Cphgib,Cyphotilapiini,fry_plan,pelagic
Hapmic,Perissodini,fry_plan,pelagic
Xchhec,Perissodini,fry_plan,pelagic
Intloo,Tropheini,herb,inter
Peteph,Tropheini,herb,shallow
Petfam,Tropheini,herb,shallow
Petfas,Tropheini,herb,shallow
Petgia,Tropheini,herb,shallow
Pethor,Tropheini,herb,inter
Petiko,Tropheini,herb,shallow
Petkas,Tropheini,herb,shallow
Petkip,Tropheini,herb,shallow
Petmac,Tropheini,herb,shallow
Petmos,Tropheini,herb,shallow
Petort,Tropheini,herb,shallow
Petpol,Tropheini,herb,shallow
Petrai,Tropheini,herb,shallow
Petred,Tropheini,herb,inter
Pettex,Tropheini,herb,shallow
Pettre,Tropheini,herb,shallow
Psccur,Tropheini,herb,shallow
Trobri,Tropheini,herb,shallow
TrobrK,Tropheini,herb,shallow
Trodub,Tropheini,herb,inter
Trokir,Tropheini,herb,shallow
Troluk,Tropheini,herb,shallow
Trolun,Tropheini,herb,shallow
Tromoo,Tropheini,herb,shallow
Tromor,Tropheini,herb,shallow
Trompi,Tropheini,herb,shallow
Tronig,Tropheini,herb,shallow
Tropol,Tropheini,herb,shallow
Trored,Tropheini,herb,shallow
Calmac,Ectodini,invert,inter
Calmel,Ectodini,invert,inter
Calple,Ectodini,invert,inter
Carsch,Ectodini,invert,inter
Ectdes,Ectodini,invert,inter
EctspN,Ectodini,invert,inter
Enamel,Ectodini,invert,inter
Gralem,Ectodini,invert,inter
Xenbou,Ectodini,invert,shallow
Xenlon,Ectodini,invert,inter
Xenoch,Ectodini,invert,inter
Xenorn,Ectodini,invert,deep
Xensim,Ectodini,invert,inter
Xensin,Ectodini,invert,inter
Altcal,Lamprologini,invert,inter
Altcom,Lamprologini,invert,inter
Altfas,Lamprologini,invert,inter
Altshe,Lamprologini,invert,inter
Lammel,Lamprologini,invert,inter
Lamoce,Lamprologini,invert,inter
LamorC,Lamprologini,invert,inter
Lamorn,Lamprologini,invert,inter
LamorS,Lamprologini,invert,inter
Lamsig,Lamprologini,invert,inter
Lamspe,Lamprologini,invert,inter
Neobif,Lamprologini,invert,inter
Neobou,Lamprologini,invert,inter
Neobue,Lamprologini,invert,inter
Neochi,Lamprologini,invert,inter
Neochr,Lamprologini,invert,inter
Neocyg,Lamprologini,invert,inter
Neocyl,Lamprologini,invert,inter
Neoese,Lamprologini,invert,inter
Neofur,Lamprologini,invert,inter
NeofuU,Lamprologini,invert,inter
Neohel,Lamprologini,invert,inter
Neokom,Lamprologini,invert,inter
Neoleu,Lamprologini,invert,inter
Neolou,Lamprologini,invert,inter
Neomee,Lamprologini,invert,shallow
Neomod,Lamprologini,invert,shallow
Neomon,Lamprologini,invert,shallow
Neomux,Lamprologini,invert,inter
Neonig,Lamprologini,invert,inter
Neonve,Lamprologini,invert,inter
Neoobs,Lamprologini,invert,inter
Neopec,Lamprologini,invert,inter
Neopet,Lamprologini,invert,inter
Neople,Lamprologini,invert,inter
Neopro,Lamprologini,invert,inter
Neosav,Lamprologini,invert,inter
Neosex,Lamprologini,invert,inter
Neospl,Lamprologini,invert,inter
Neotet,Lamprologini,invert,inter
Neotim,Lamprologini,invert,inter
Neotoa,Lamprologini,invert,inter
Neotre,Lamprologini,invert,inter
NeoveB,Lamprologini,invert,inter
NeoveS,Lamprologini,invert,inter
Neowal,Lamprologini,invert,inter
TeldhN,Lamprologini,invert,inter
TeldhS,Lamprologini,invert,inter
TeldhT,Lamprologini,invert,inter
Gnaper,Limnochromini,invert,deep
Gwcsta,Limnochromini,invert,deep
Lchaur,Limnochromini,invert,deep
Tylpol,Tylochromini,invert,inter
Ctehor,Tropheini,omni,inter
Limdar,Tropheini,omni,inter
Cypcol,Cyprichromini,plan,pelagic
Cypdwj,Cyprichromini,plan,pelagic
Cypkan,Cyprichromini,plan,pelagic
Cyplep,Cyprichromini,plan,pelagic
Cypmic,Cyprichromini,plan,pelagic
Cyppav,Cyprichromini,plan,pelagic
Cypzon,Cyprichromini,plan,pelagic
Pcybri,Cyprichromini,plan,pelagic
PcybrN,Cyprichromini,plan,pelagic
Pcynig,Cyprichromini,plan,pelagic
Mdcrot,Ectodini,plan,inter
Mdcten,Ectodini,plan,inter
Neobre,Lamprologini,plan,inter
Neobri,Lamprologini,plan,inter
NeobrM,Lamprologini,plan,inter
NeocaK,Lamprologini,plan_invert,inter
Neocal,Lamprologini,plan_invert,inter
Neocan,Lamprologini,plan_invert,inter
Neocau,Lamprologini,plan_invert,inter
Neocra,Lamprologini,plan_invert,inter
Neofal,Lamprologini,plan_invert,inter
NeofaM,Lamprologini,plan_invert,inter
Neogra,Lamprologini,plan_invert,inter
NeogrM,Lamprologini,plan_invert,inter
Neolap,Lamprologini,plan_invert,inter
NeoleL,Lamprologini,plan_invert,inter
Neomar,Lamprologini,plan_invert,inter
Neomul,Lamprologini,plan_invert,inter
Neooli,Lamprologini,plan_invert,inter
Neopul,Lamprologini,plan_invert,inter
Neosim,Lamprologini,plan_invert,inter
Tchdha,Limnochromini,plan_invert,deep
Trioto,Limnochromini,plan_invert,deep
Perecc,Perissodini,scales,pelagic
Permic,Perissodini,scales,inter
Pleela,Perissodini,scales,pelagic
Plemul,Perissodini,scales,pelagic
Plepar,Perissodini,scales,pelagic
Plestr,Perissodini,scales,inter